Location,School Year,Estimated Percent Vaccinated,Population Size,Percent Surveyed,Survey Type,Category
South Carolina,2021-22,92.70%,58276,27.2,1-stage Cluster Sample,90-94.9%
South Carolina,2012-13,90.90%,61799,17.9,1-stage Cluster Sample,90-94.9%
South Carolina,2011-12,94.50%,59307,10.7,1-stage Cluster Sample,90-94.9%
South Carolina,2013-14,96.80%,61661,11,1-stage Stratified Sample,95%+
Virginia,2013-14,93.10%,105692,4.1,2-stage Cluster  Sample,90-94.9%
Missouri,2012-13,96.70%,78416,5.9,2-stage Cluster Sample,95%+
Missouri,2011-12,96.80%,75240,4.7,2-stage Cluster Sample,95%+
Nevada,2012-13,93.60%,36070,4.3,2-stage Cluster Sample,90-94.9%
Nevada,2011-12,95.30%,36557,5.2,2-stage Cluster Sample,95%+
New Mexico,2012-13,93.90%,29279,3.3,2-stage Cluster Sample,90-94.9%
New Mexico,2011-12,95.70%,29159,2,2-stage Cluster Sample,95%+
North Dakota,2012-13,89.90%,9503,4.9,2-stage Cluster Sample,Less than 90%
Delaware,2012-13,95.70%,11997,7.8,2-stage Cluster Sample,95%+
Delaware,2011-12,96.90%,11327,7.4,2-stage Cluster Sample,95%+
Georgia,2012-13,95.10%,142732,2.4,2-stage Cluster Sample,95%+
Georgia,2011-12,96.60%,143065,1.9,2-stage Cluster Sample,95%+
Hawaii,2012-13,NA,20104,6.7,2-stage Cluster Sample,NA
Hawaii,2011-12,NA,19443,7.7,2-stage Cluster Sample,NA
Rhode Island,2011-12,91.70%,12552,13.9,2-stage Cluster Sample,90-94.9%
Virginia,2012-13,93.10%,104826,4.2,2-stage Cluster Sample,90-94.9%
Virginia,2011-12,93.00%,101121,4.3,2-stage Cluster Sample,90-94.9%
Wisconsin,2012-13,92.80%,72416,1.8,2-stage Cluster Sample,90-94.9%
Wisconsin,2011-12,93.10%,70672,2.3,2-stage Cluster Sample,90-94.9%
Delaware,2024-25,94.1,10393,14.2,"2-stage cluster sample (pub.), nonrandom 2-stage cluster sample (prv.)",90-94.9%
Alabama,2024-25,95.2,53589,99.9,Census,95%+
Arizona,2024-25,88.6,75024,97.4,Census,Less than 90%
California,2024-25,96.1,590849,100,Census,95%+
Colorado,2024-25,88,60055,100,Census,Less than 90%
Connecticut,2024-25,98.2,30112,100,Census,95%+
District of Columbia,2024-25,92.7,7997,100,Census,90-94.9%
Florida,2024-25,88.8,221053,100,Census,Less than 90%
Georgia,2024-25,86.8,114568,100,Census,Less than 90%
Idaho,2024-25,78.5,22242,99.5,Census,Less than 90%
Illinois,2024-25,91.8,132769,99.5,Census,90-94.9%
Iowa,2024-25,88.8,38268,100,Census,Less than 90%
Kentucky,2024-25,86.9,51319,100,Census,Less than 90%
Louisiana,2024-25,92.6,49229,100,Census,90-94.9%
Maine,2024-25,97.6,11761,95.4,Census,95%+
Massachusetts,2024-25,96.6,65581,100,Census,95%+
Michigan,2024-25,91.6,107636,100,Census,90-94.9%
Minnesota,2024-25,86.5,64898,99.7,Census,Less than 90%
Mississippi,2024-25,97.6,35293,100,Census,95%+
Missouri,2024-25,90,68163,100,Census,90-94.9%
Nebraska,2024-25,94.2,24102,100,Census,90-94.9%
New Hampshire,2024-25,89.2,11713,100,Census,Less than 90%
New Jersey,2024-25,92.8,104339,100,Census,90-94.9%
New Mexico,2024-25,94.8,20180,100,Census,90-94.9%
North Dakota,2024-25,90,9659,98.8,Census,90-94.9%
Oregon,2024-25,90.5,38247,100,Census,90-94.9%
Rhode Island,2024-25,96.7,10088,96.7,Census,95%+
South Dakota,2024-25,90,11367,99.3,Census,90-94.9%
Tennessee,2024-25,94.4,78299,96.7,Census,90-94.9%
San Antonio,2024-25,94.7,24929,100,Census,90-94.9%
Utah,2024-25,88.6,45818,100,Census,Less than 90%
Vermont,2024-25,93.5,5432,100,Census,90-94.9%
Washington,2024-25,90.9,76756,97.9,Census,90-94.9%
Wyoming,2024-25,93.6,6564,100,Census,90-94.9%
Illinois,2016-17,94.90%,151309,97.7,Census,90-94.9%
Illinois,2015-16,94.90%,151309,100,Census,90-94.9%
Illinois,2014-15,94.70%,156942,100,Census,90-94.9%
Illinois,2013-14,94.70%,163316,100,Census,90-94.9%
Illinois,2012-13,95.50%,166884,100,Census,95%+
Illinois,2011-12,97.30%,163311,100,Census,95%+
Illinois,2009-10,94.50%,165845,100,Census,90-94.9%
Indiana,2018-19,91.20%,82324,96.4,Census,90-94.9%
Indiana,2009-10,92.80%,84390,94.7,Census,90-94.9%
Iowa,2023-24,89.10%,38611,100,Census,Less than 90%
Iowa,2022-23,89.90%,39178,100,Census,Less than 90%
Iowa,2021-22,90.60%,40111,100,Census,90-94.9%
Iowa,2020-21,93.40%,39141,100,Census,90-94.9%
Iowa,2019-20,93.20%,40812,100,Census,90-94.9%
Iowa,2018-19,93.30%,40624,100,Census,90-94.9%
Iowa,2017-18,93.00%,39632,100,Census,90-94.9%
Iowa,2016-17,92.60%,39587,100,Census,90-94.9%
Iowa,2015-16,91.80%,41215,100,Census,90-94.9%
Iowa,2014-15,91.90%,43239,96.3,Census,90-94.9%
Iowa,2013-14,91.00%,43728,94.6,Census,90-94.9%
Iowa,2012-13,90.50%,41701,99.9,Census,90-94.9%
Iowa,2011-12,91.10%,40978,100,Census,90-94.9%
Iowa,2009-10,84.50%,42698,100,Census,Less than 90%
Kentucky,2023-24,90.00%,52609,100,Census,90-94.9%
Kentucky,2022-23,90.10%,54742,96.9,Census,90-94.9%
Kentucky,2021-22,86.50%,59233,91.5,Census,Less than 90%
Kentucky,2019-20,93.10%,59233,92.9,Census,90-94.9%
Kentucky,2018-19,93.40%,55587,99,Census,90-94.9%
Kentucky,2017-18,92.60%,55152,99,Census,90-94.9%
Kentucky,2016-17,90.80%,51487,92.9,Census,90-94.9%
Kentucky,2015-16,92.20%,54353,99.5,Census,90-94.9%
Kentucky,2014-15,92.70%,57884,97.2,Census,90-94.9%
Kentucky,2013-14,92.60%,57857,100,Census,90-94.9%
Kentucky,2012-13,92.40%,58466,97.2,Census,90-94.9%
Kentucky,2011-12,92.00%,58185,91.8,Census,90-94.9%
Kentucky,2009-10,92.20%,56526,92.9,Census,90-94.9%
Louisiana,2023-24,92.40%,51839,100,Census,90-94.9%
Louisiana,2022-23,92.20%,54314,100,Census,90-94.9%
Louisiana,2021-22,93.70%,66518,100,Census,90-94.9%
Louisiana,2020-21,96.20%,61912,100,Census,95%+
Louisiana,2019-20,95.60%,59685,100,Census,95%+
Louisiana,2018-19,95.50%,56203,100,Census,95%+
Louisiana,2017-18,96.10%,58277,100,Census,95%+
Louisiana,2016-17,97.10%,55257,100,Census,95%+
Louisiana,2015-16,96.80%,59159,100,Census,95%+
Louisiana,2014-15,96.80%,60377,100,Census,95%+
Louisiana,2013-14,96.80%,63976,100,Census,95%+
Louisiana,2012-13,96.60%,68874,100,Census,95%+
Louisiana,2011-12,98.10%,69013,100,Census,95%+
Louisiana,2009-10,96.90%,53846,100,Census,95%+
Maine,2023-24,97.50%,12087,93,Census,95%+
Maine,2022-23,96.80%,12403,93.9,Census,95%+
Maine,2021-22,96.70%,12881,91.6,Census,95%+
Maine,2019-20,94.10%,13450,99.6,Census,90-94.9%
